fecha,positivas_total,casos_nuevos,muertes,muertes_nuevas,hospitalizadas_estables,hospitalizadas_pronostico_reservadas,hospitalizadas_nuevas
2021-11-14,623307,123,33088,1,650,427,1077
2021-11-15,623444,137,33089,1,650,427,1077
2021-11-16,623737,293,33098,9,650,427,1077
2021-11-17,624308,571,33106,8,650,427,1077
2021-11-18,624903,595,33112,6,650,427,1077
2021-11-19,625504,601,33121,9,650,427,1077
2021-11-20,625774,270,33125,4,650,427,1077
2021-11-21,626156,382,33125,0,650,427,1077
2021-11-22,626319,163,33128,3,650,427,1077
2021-11-23,627022,703,33131,3,650,427,1077
2021-11-24,627963,941,33144,13,650,427,1077
2021-11-25,629142,1179,33167,23,650,427,1077
2021-11-26,630229,1087,33185,18,650,427,1077
2021-11-27,631677,1448,33219,34,650,427,1077
2021-11-28,632772,1095,33234,15,650,427,1077
2021-11-29,633713,941,33250,16,650,427,1077
2021-11-30,634647,934,33296,46,650,427,1077
2021-12-01,635606,959,33315,19,650,427,1077
2021-12-02,637281,1675,33365,50,650,427,1077
2021-12-03,639341,2060,33447,82,650,427,1077
2021-12-04,641059,1718,33484,37,650,427,1077
2021-12-05,641699,640,33484,0,650,427,1077
2021-12-06,642190,491,33488,4,650,427,1077
2021-12-07,643129,939,33494,6,650,427,1077
2021-12-08,644086,957,33498,4,650,427,1077
2021-12-09,645496,1410,33507,9,650,427,1077
2021-12-10,646623,1127,33548,41,650,427,1077
2021-12-11,647782,1159,33558,10,650,427,1077
2021-12-12,648482,700,33561,3,650,427,1077
2021-12-13,648953,471,33562,1,650,427,1077
2021-12-14,649748,795,33570,8,650,427,1077
2021-12-15,650691,943,33581,11,650,427,1077
2021-12-16,651557,866,33586,5,650,427,1077
2021-12-17,652604,1047,33593,7,650,427,1077
2021-12-18,653770,1166,33597,4,650,427,1077
2021-12-19,654182,412,33597,0,650,427,1077
2021-12-20,654438,256,33614,17,650,427,1077
2021-12-21,655767,1329,33624,10,650,427,1077
2021-12-22,656624,857,33634,10,650,427,1077
2021-12-23,658290,1666,33641,7,650,427,1077
2021-12-24,659710,1420,33647,6,650,427,1077
2021-12-25,660587,877,33648,1,650,427,1077
2021-12-26,660900,313,33649,1,650,427,1077
2021-12-27,661684,784,33650,1,650,427,1077
2021-12-28,663001,1317,33656,6,650,427,1077
2021-12-29,664836,1835,33669,13,650,427,1077
2021-12-30,666542,1706,33672,3,650,427,1077
2021-12-31,668921,2379,33681,9,650,427,1077
2022-01-01,671038,2117,33682,1,650,427,1077
2022-01-02,671853,815,33683,1,650,427,1077
2022-01-03,672622,769,33686,3,650,427,1077
2022-01-04,673935,1313,33690,4,650,427,1077
2022-01-05,676847,2912,33699,9,650,427,1077
2022-01-06,679630,2783,33699,0,650,427,1077
2022-01-07,681091,1461,33702,3,650,427,1077
2022-01-08,684153,3062,33706,4,650,427,1077
2022-01-09,687460,3307,33709,3,650,427,1077
2022-01-10,689460,2000,33713,4,650,427,1077
2022-01-11,699286,9826,34122,409,650,427,1077
2022-01-12,710490,11204,34162,40,650,427,1077
2022-01-13,715862,5372,34189,27,650,427,1077
2022-01-14,725724,9862,34206,17,650,427,1077
