Fecha,Casos
2021-11-14,623307
2021-11-15,623444
2021-11-16,623737
2021-11-17,624308
2021-11-18,624903
2021-11-19,625504
2021-11-20,625774
2021-11-21,626156
2021-11-22,626319
2021-11-23,627022
2021-11-24,627963
2021-11-25,629142
2021-11-26,630229
2021-11-27,631677
2021-11-28,632772
2021-11-29,633713
2021-11-30,634647
2021-12-01,635606
2021-12-02,637281
2021-12-03,639341
2021-12-04,641059
2021-12-05,641699
2021-12-06,642190
2021-12-07,643129
2021-12-08,644086
2021-12-09,645496
2021-12-10,646623
2021-12-11,647782
2021-12-12,648482
2021-12-13,648953
2021-12-14,649748
2021-12-15,650691
2021-12-16,651557
2021-12-17,652604
2021-12-18,653770
2021-12-19,654182
2021-12-20,654438
2021-12-21,655767
2021-12-22,656624
2021-12-23,658290
2021-12-24,659710
2021-12-25,660587
2021-12-26,660900
2021-12-27,661684
2021-12-28,663001
2021-12-29,664836
2021-12-30,666542
2021-12-31,668921
2022-01-01,671038
2022-01-02,671853
2022-01-03,672622
2022-01-04,673935
2022-01-05,676847
2022-01-06,679630
2022-01-07,681091
2022-01-08,684153
2022-01-09,687460
2022-01-10,689460
2022-01-11,699286
2022-01-12,710490
2022-01-13,715862
2022-01-14,725724
